round01		08-07	09-06	10-05	11-04	12-03	13-02
round02		01-12	03-10	04-13	05-08	06-11	07-09
round03		02-04	08-03	09-05	10-01	11-07	13-06
round04		01-08	03-09	05-11	06-02	07-13	12-10
round05		02-07	04-06	08-12	09-01	11-03	13-05
round06		01-11	03-13	05-02	07-04	10-08	12-09
round07		02-03	04-05	06-07	09-10	11-12	13-01
round08		01-02	03-04	05-06	08-09	10-11	12-13
round09		02-12	04-01	06-03	07-05	11-08	13-10
round10		01-06	03-07	08-13	09-11	10-02	12-04
round11		02-08	04-10	05-03	06-12	07-01	13-09
round12		01-05	08-04	09-02	10-06	11-13	12-07
round13		02-11	03-01	04-09	05-12	06-08	07-10

round14		07-08	06-09	05-10	04-11	03-12	02-13
round15		12-01	10-03	13-04	08-05	11-06	09-07
round16		04-02	03-08	05-09	01-10	07-11	06-13
round17		08-01	09-03	11-05	02-06	13-07	10-12
round18		07-02	06-04	12-08	01-09	03-11	05-13
round19		11-01	13-03	02-05	04-07	08-10	09-12
round20		03-02	05-04	07-06	10-09	12-11	01-13
round21		02-01	04-03	06-05	09-08	11-10	13-12
round22		12-02	01-04	03-06	05-07	08-11	10-13
round23		06-01	07-03	13-08	11-09	02-10	04-12
round24		08-02	10-04	03-05	12-06	01-07	09-13
round25		05-01	04-08	02-09	06-10	13-11	07-12
round26		11-02	01-03	09-04	12-05	08-06	10-07
