round01		01-09	03-07	06-02	08-05	10-04
round02		02-10	04-08	05-03	07-01	09-06
round03		01-05	03-04	06-10	08-02	09-07
round04		02-03	04-01	05-09	07-06	10-08
round05		01-02	03-10	06-08	07-05	09-04
round06		02-09	04-07	05-06	08-03	10-01
round07		01-08	03-06	05-04	07-02	09-10
round08		02-05	03-01	06-04	08-09	10-07
round09		01-06	04-02	05-10	07-08	09-03

round10		09-01	07-03	02-06	05-08	04-10
round11		10-02	08-04	03-05	01-07	06-09
round12		05-01	04-03	10-06	02-08	07-09
round13		03-02	01-04	09-05	06-07	08-10
round14		02-01	10-03	08-06	05-07	04-09
round15		09-02	07-04	06-05	03-08	01-10
round16		08-01	06-03	04-05	02-07	10-09
round17		05-02	01-03	04-06	09-08	07-10
round18		06-01	02-04	10-05	08-07	03-09
